project,billDate,expense,category,partner
DFM,2020-11-01,40110,OutsourcingFee,Cantech
V&V Testing,2020-11-01,9400,OutsourcingFee,Cantech
V&V Testing,2020-11-01,240,OutsourcingFee,Cantech
DFM,2020-12-01,23404.84,Expense,Foryou
FE3AH,2020-12-01,16117.5,Expense,Foryou
GAC,2020-12-01,4847.8,Expense,Foryou
FE3AH,2020-12-01,2915.53,OutsourcingFee,Jintech
GE13,2020-12-01,2915.53,OutsourcingFee,Jintech
HMI,2020-12-01,41370,OutsourcingFee,Cantech
FE5AB/6AB,2020-12-01,38430,OutsourcingFee,Cantech
FE3AH,2020-12-01,26105.63,OutsourcingFee,Jintech
FE5AB/6AB,2020-12-01,26105.63,OutsourcingFee,Jintech
FE3AH,2020-12-01,4006.88,OutsourcingFee,Jintech
FE5AB/6AB,2020-12-01,4006.88,OutsourcingFee,Jintech
DFM,2020-12-01,59062,OutsourcingFee,Foryou
DFM,2020-12-01,42525,OutsourcingFee,Foryou
FE3AH,2020-12-01,7200,OutsourcingFee,Foryou
AE Testing,2020-12-01,36120,OutsourcingFee,Cantech
FE5AB/6AB,2020-12-01,14070,OutsourcingFee,Cantech
GE13,2020-12-01,35490,OutsourcingFee,Cantech
RBJAC,2020-12-01,330000,Expense,Foryou
BJEV,2020-12-01,200000,Expense,Foryou
DFM,2021-01-01,5463.31,Expense,Foryou
GE13,2021-01-01,19950,OutsourcingFee,Cantech
GAC,2021-01-01,4874.84,Expense,Foryou
FE3AH,2021-01-01,38882,Expense,Foryou
HMI,2021-01-01,36120,OutsourcingFee,Cantech
FE5AB/6AB,2021-01-01,24150,OutsourcingFee,Cantech
FE3AH,2021-01-01,2786.25,OutsourcingFee,Jintech
FE5AB/6AB,2021-01-01,2786.25,OutsourcingFee,Jintech
DFM,2021-01-01,32625,OutsourcingFee,Foryou
DFM,2021-01-01,11587.5,OutsourcingFee,Foryou
AE Testing,2021-01-01,27930,OutsourcingFee,Cantech
GE13,2021-01-01,36330,OutsourcingFee,Cantech
HMI,2021-02-01,21210,OutsourcingFee,Cantech
AE Testing,2021-02-01,27930,OutsourcingFee,Cantech
GE13,2021-02-01,36330,OutsourcingFee,Cantech
AE Testing,2021-02-01,2103.5,Expense,Cantech
GE13,2021-02-01,670.5,Expense,Cantech
FE3AH,2021-02-01,9348.75,OutsourcingFee,Jintech
DFM,2021-02-01,20137.5,OutsourcingFee,Foryou
DFM,2021-02-01,29925,OutsourcingFee,Foryou
FE3AH,2021-02-01,4548,Expense,Foryou
RBJAC,2021-03-01,2700,OutsourcingFee,Foryou
Digital,2021-03-01,7116,Expense,Foryou
FE3AH,2021-03-01,29580.75,OutsourcingFee,Jintech
BYD,2021-03-01,5364.72,OutsourcingFee,Jintech
BYD,2021-03-01,2985.4,Expense,Jintech
HMI,2021-03-01,40740,OutsourcingFee,Cantech
AE Testing,2021-03-01,27930,OutsourcingFee,Cantech
V&V Testing,2021-03-01,36330,OutsourcingFee,Cantech
FE3AH,2021-03-01,11655,OutsourcingFee,Cantech
AE Testing,2021-03-01,5530,Expense,Cantech
V&V Testing,2021-03-01,490,Expense,Cantech
AE Testing,2021-04-01,10080,OutsourcingFee,Cantech
FE-6-A3,2021-04-01,3360,OutsourcingFee,Cantech
HMI,2021-04-01,16170,OutsourcingFee,Cantech
FE3AH,2021-04-01,22644,OutsourcingFee,Jintech
RBJAC_commercial,2021-04-01,395000,Expense,waylancer
FE-6-A3,2021-05-01,34335,OutsourcingFee,Cantech
FE-6-A3,2021-05-01,2350,Expense,Cantech
FE-6-A3,2021-05-01,19800,OutsourcingFee,Foryou
FE-6-A3,2021-05-01,1200,Expense,Foryou
FE-6-A3,2021-05-01,600,Expense,Foryou
FE-6-A3,2021-05-01,9000,Expense,Foryou
BJEV,2021-05-01,350000,Expense,Foryou
RBJAC_commercial,2021-05-01,395000,Expense,waylancer
FE-6-A3,2021-06-01,34335,OutsourcingFee,Cantech
FE-6-A3,2021-06-01,2350,Expense,Cantech
FE-6-A3,2021-06-01,38587.5,OutsourcingFee,Foryou
FE-6-A3,2021-06-01,6750,OutsourcingFee,Foryou
FE-6-A3,2021-06-01,12937.5,OutsourcingFee,Foryou
FE-6-A3,2021-06-01,1912.5,OutsourcingFee,Foryou
FE-6-A3,2021-06-01,1200,Expense,Foryou
FE-6-A3,2021-06-01,13719.96,Expense,Foryou
RBJAC_commercial,2021-06-01,395000,Expense,waylancer
FE-6-A3,2021-07-01,42525,OutsourcingFee,Foryou
FE-6-A3,2021-07-01,13837,OutsourcingFee,Foryou
FE-6-A3,2021-07-01,14625,OutsourcingFee,Foryou
AUDI_PPE&CADA&CAPA,2021-07-01,6974,Expense,Foryou
RBJAC_commercial,2021-07-01,395000,Expense,waylancer
FE-6-A3,2021-07-01,42105,OutsourcingFee,Cantech
FE-6-A3,2021-07-01,4378,Expense,Cantech
FE-6-A3,2021-08-01,47565,OutsourcingFee,Cantech
FE-6-A3,2021-08-01,9900,OutsourcingFee,Foryou
FE-6-A3,2021-08-01,4612.5,OutsourcingFee,Foryou
FE-6-A3,2021-08-01,1180,Expense,Foryou
FE-6-A3,2021-09-01,39585,OutsourcingFee,Cantech
FE-6-A3,2021-09-01,11925,OutsourcingFee,Foryou
FE-6-A3,2021-09-01,7200,OutsourcingFee,Foryou
FE-6-A3,2021-09-01,86500,Expense,Foryou
FE-6-A3,2021-09-01,265.1,Expense,Foryou
FE-6-A3,2021-09-01,160.85,Expense,Foryou
FE-6-A3,2021-09-01,1000,Expense,Foryou
