project,amount,invoiceDate,type
GE13,-32850,2019-06-01,02-RBEI
GE13,-38362.5,2019-06-01,02-RBEI
GE13,-38362.5,2019-06-01,02-RBEI
GE12B,-3565,2019-07-01,02-RBEI
GE12B,-4000,2019-07-01,02-RBEI
GE13,-4000,2019-07-01,02-RBEI
GE12B,-19850,2019-07-01,02-RBEI
GE13,-19850,2019-07-01,02-RBEI
GE13,-3500,2019-07-01,02-RBEI
GE13,-14400,2019-07-01,02-RBEI
GE13,-49938.75,2019-07-01,02-RBEI
GE13,-50186.25,2019-07-01,02-RBEI
GE13,-47340,2019-07-01,02-RBEI
GE13,-48948.75,2019-07-01,02-RBEI
GE12B,-48600,2019-07-01,02-RBEI
GE13,-33813,2019-07-01,02-RBEI
GE13,-43998.75,2019-07-01,02-RBEI
GE13,-43998.75,2019-07-01,02-RBEI
GE13,-2560,2019-08-01,02-RBEI
GE13,-32175,2019-08-01,02-RBEI
GE13,-7200,2019-08-01,02-RBEI
GE12B,-4000,2019-08-01,02-RBEI
GE13,-4000,2019-08-01,02-RBEI
GE12B,-19850,2019-08-01,02-RBEI
GE13,-19850,2019-08-01,02-RBEI
GE13,-38362.5,2019-08-01,02-RBEI
GE13,-47767.5,2019-08-01,02-RBEI
GE13,-48633.75,2019-08-01,02-RBEI
GE13,-46901.25,2019-08-01,02-RBEI
GE13,-44426.25,2019-08-01,02-RBEI
GE12B,-64912.5,2019-08-01,02-RBEI
GE13,-15840,2019-08-01,02-RBEI
BYD,-9000,2019-08-01,02-RBEI
GE13,-39600,2019-08-01,02-RBEI
FE5AB/6AB,-3293.5,2019-09-01,02-RBEI
GE13,-16200,2019-09-01,02-RBEI
GE13,-43065,2019-09-01,02-RBEI
GE13,-25348.3,2019-09-01,02-RBEI
FE5AB/6AB,-2666.67,2019-09-01,02-RBEI
GE12B,-2666.67,2019-09-01,02-RBEI
GE13,-2666.67,2019-09-01,02-RBEI
FE5AB/6AB,-13233.33,2019-09-01,02-RBEI
GE12B,-13233.33,2019-09-01,02-RBEI
GE13,-13233.33,2019-09-01,02-RBEI
FE5AB/6AB,-43680,2019-09-01,02-RBEI
GE13,-3780,2019-09-01,02-RBEI
GE13,-37800,2019-09-01,02-RBEI
GE13,-39060,2019-09-01,02-RBEI
GE13,-42806.25,2019-09-01,02-RBEI
GE13,-42693.75,2019-09-01,02-RBEI
GE13,-13351.5,2019-09-01,02-RBEI
GE12B,-31387.5,2019-09-01,02-RBEI
GE13,-14850,2019-09-01,02-RBEI
BYD,-48375,2019-09-01,02-RBEI
GE13,-37237.5,2019-09-01,02-RBEI
GE12B,-8783,2019-10-01,02-RBEI
FE5AB/6AB,-1015.87,2019-10-01,02-RBEI
GE13,-46091.25,2019-10-01,02-RBEI
FE5AB/6AB,-5419.35,2019-10-01,02-RBEI
GE12B,-5419.35,2019-10-01,02-RBEI
GE13,-5419.35,2019-10-01,02-RBEI
FE5AB/6AB,-15900,2019-10-01,02-RBEI
GE12B,-15900,2019-10-01,02-RBEI
GE13,-15900,2019-10-01,02-RBEI
FE5AB/6AB,-44100,2019-10-01,02-RBEI
GE13,-38925,2019-10-01,02-RBEI
GE13,-39903.75,2019-10-01,02-RBEI
FE5AB/6AB,-22680,2019-10-01,02-RBEI
GE13,-48813.75,2019-10-01,02-RBEI
FE5AB/6AB,-29193.75,2019-10-01,02-RBEI
GE13,-47700,2019-10-01,02-RBEI
GE13,-49927.5,2019-10-01,02-RBEI
GE12B,-41625,2019-10-01,02-RBEI
FE5AB/6AB,-38666.25,2019-10-01,02-RBEI
FE5AB/6AB,-42502.5,2019-10-01,02-RBEI
GE13,-37800,2019-10-01,02-RBEI
FE5AB/6AB,-19125,2019-10-01,02-RBEI
BYD,-40950,2019-10-01,02-RBEI
GE13,-39093.75,2019-10-01,02-RBEI
GE13,-17729.5,2019-11-01,02-RBEI
GE13,-1476.49,2019-11-01,02-RBEI
GE13,-43425,2019-11-01,02-RBEI
GE13,-21000,2019-11-01,02-RBEI
FE5AB/6AB,-16297.85,2019-11-01,02-RBEI
GE13,-16297.85,2019-11-01,02-RBEI
FE5AB/6AB,-27850,2019-11-01,02-RBEI
GE13,-27850,2019-11-01,02-RBEI
GE13,-31427.8,2019-11-01,02-RBEI
GE13,-51070.175,2019-11-01,02-RBEI
GE13,-45720,2019-11-01,02-RBEI
FE5AB/6AB,-51240,2019-11-01,02-RBEI
GE13,-55125,2019-11-01,02-RBEI
FE5AB/6AB,-56733.75,2019-11-01,02-RBEI
GE13,-49159.025,2019-11-01,02-RBEI
GE13,-50670,2019-11-01,02-RBEI
GE12B,-43637.925,2019-11-01,02-RBEI
FE5AB/6AB,-20160,2019-11-01,02-RBEI
FE5AB/6AB,-52526.25,2019-11-01,02-RBEI
FE5AB/6AB,-55710,2019-11-01,02-RBEI
GE13,-48937.5,2019-11-01,02-RBEI
FE5AB/6AB,-46292.3,2019-11-01,02-RBEI
BYD,-46186.125,2019-11-01,02-RBEI
GE13,-43987.5,2019-11-01,02-RBEI
FE5AB/6AB,-18039.27,2019-12-01,02-RBEI
FE5AB/6AB,-4496.2,2019-12-01,02-RBEI
GE13,-45967.5,2019-12-01,02-RBEI
FE5AB/6AB,-21000,2019-12-01,02-RBEI
FE5AB/6AB,-23850,2019-12-01,02-RBEI
FE5AB/6AB,-7661.29,2019-12-01,02-RBEI
GE13,-23850,2019-12-01,02-RBEI
GE13,-7661.29,2019-12-01,02-RBEI
FE5AB/6AB,-35317.74,2019-12-01,02-RBEI
GE13,-50539.3,2019-12-01,02-RBEI
GE13,-43987.5,2019-12-01,02-RBEI
FE5AB/6AB,-47460,2019-12-01,02-RBEI
GE13,-47081.25,2019-12-01,02-RBEI
FE5AB/6AB,-47823.75,2019-12-01,02-RBEI
GE13,-49583.7,2019-12-01,02-RBEI
GE13,-44977.5,2019-12-01,02-RBEI
GE12B,-35993.3,2019-12-01,02-RBEI
FE5AB/6AB,-46200,2019-12-01,02-RBEI
FE5AB/6AB,-47576.25,2019-12-01,02-RBEI
FE5AB/6AB,-45596.25,2019-12-01,02-RBEI
